path,name,kind,route,url,steps,actions,risk_flags,has_write
autonomous/auto_1770554612.yaml,autonomous_1770554612,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770561848.yaml,autonomous_1770561848,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770565422.yaml,autonomous_1770565422,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770568936.yaml,autonomous_1770568936,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770572802.yaml,autonomous_1770572802,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770576202.yaml,autonomous_1770576202,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770579756.yaml,autonomous_1770579756,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770583345.yaml,autonomous_1770583345,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770587104.yaml,autonomous_1770587104,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770589436.yaml,autonomous_1770589436,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770590800.yaml,autonomous_1770590800,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770591799.yaml,autonomous_1770591799,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770592174.yaml,autonomous_1770592174,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770592565.yaml,autonomous_1770592565,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770592964.yaml,autonomous_1770592964,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770593391.yaml,autonomous_1770593391,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770593981.yaml,autonomous_1770593981,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770600074.yaml,autonomous_1770600074,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770602530.yaml,autonomous_1770602530,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770603015.yaml,autonomous_1770603015,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770603224.yaml,autonomous_1770603224,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770605102.yaml,autonomous_1770605102,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770605400.yaml,autonomous_1770605400,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770605894.yaml,autonomous_1770605894,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770606222.yaml,autonomous_1770606222,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770606517.yaml,autonomous_1770606517,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770606684.yaml,autonomous_1770606684,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770607634.yaml,autonomous_1770607634,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770609624.yaml,autonomous_1770609624,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770610169.yaml,autonomous_1770610169,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770610651.yaml,autonomous_1770610651,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770612297.yaml,autonomous_1770612297,ui,,,5,"click,goto,type,wait",,True
autonomous/auto_1770788535.yaml,autonomous_1770788535,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770792621.yaml,autonomous_1770792621,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770795477.yaml,autonomous_1770795477,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770797828.yaml,autonomous_1770797828,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770799696.yaml,autonomous_1770799696,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770800468.yaml,autonomous_1770800468,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770802108.yaml,autonomous_1770802108,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770831942.yaml,autonomous_1770831942,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770846805.yaml,autonomous_1770846805,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770861304.yaml,autonomous_1770861304,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770873500.yaml,autonomous_1770873500,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770878595.yaml,autonomous_1770878595,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770883854.yaml,autonomous_1770883854,ui,,,14,"click,goto,press,scroll,type,wait",,True
autonomous/auto_1770887559.yaml,autonomous_1770887559,ui,,,12,"click,goto,press,scroll,type,upload,wait",,True
autonomous/auto_1770889460.yaml,autonomous_1770889460,ui,,,12,"click,goto,press,scroll,type,upload,wait",,True
autonomous/auto_1770890868.yaml,autonomous_1770890868,ui,,,12,"click,goto,press,scroll,type,upload,wait",,True
autonomous/auto_1770903563.yaml,autonomous_1770903563,ui,,,12,"click,goto,press,scroll,type,upload,wait",,True
autonomous/auto_1770906586.yaml,autonomous_1770906586,ui,,,12,"click,goto,press,scroll,type,upload,wait",,True
autonomous/auto_1770907554.yaml,autonomous_1770907553,ui,,,12,"click,goto,press,scroll,type,upload,wait",,True
critical/api_smoke.yaml,critical-api-smoke,api,,,2,"goto,wait",,False
critical/import_excel_fixture.yaml,critical_import_excel_fixture,critical,,,3,"goto,upload,wait",,True
dashboard_exercise.yaml,dashboard_exercise,scenario,,,2,"goto,wait",,False
generated/gap_flow_flow_create_guarantee_.yaml,gap_flow_flow_create_guarantee_,api,,,1,request,,False
generated/gap_flow_flow_export_suppliers_.yaml,gap_flow_flow_export_suppliers_,api,,,1,request,,False
generated/gap_flow_flow_extend_guarantee_.yaml,gap_flow_flow_extend_guarantee_,api,,,1,request,,False
generated/gap_flow_flow_import_suppliers_.yaml,gap_flow_flow_import_suppliers_,api,,,1,request,,False
generated/gap_flow_flow_release_guarantee_.yaml,gap_flow_flow_release_guarantee_,api,,,1,request,,False
generated/gap_route_agent_dashboard_php.yaml,gap_route_agent_dashboard_php,ui,,,2,"goto,wait",,False
generated/gap_route_agent_php.yaml,gap_route_agent_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_bootstrap_php.yaml,gap_route_agentfrontend_bootstrap_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_layout_php.yaml,gap_route_agentfrontend_layout_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_activity_php.yaml,gap_route_agentfrontend_partials_activity_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_agent_autonomy_state_php.yaml,gap_route_agentfrontend_partials_agent_autonomy_state_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_agent_controls_php.yaml,gap_route_agentfrontend_partials_agent_controls_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_autonomy_goals_php.yaml,gap_route_agentfrontend_partials_autonomy_goals_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_blockers_php.yaml,gap_route_agentfrontend_partials_blockers_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_canary_status_php.yaml,gap_route_agentfrontend_partials_canary_status_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_command_center_php.yaml,gap_route_agentfrontend_partials_command_center_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_copilot_chat_php.yaml,gap_route_agentfrontend_partials_copilot_chat_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_decision_impact_php.yaml,gap_route_agentfrontend_partials_decision_impact_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_decisions_php.yaml,gap_route_agentfrontend_partials_decisions_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_domain_map_php.yaml,gap_route_agentfrontend_partials_domain_map_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_effective_config_php.yaml,gap_route_agentfrontend_partials_effective_config_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_events_php.yaml,gap_route_agentfrontend_partials_events_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_experiences_php.yaml,gap_route_agentfrontend_partials_experiences_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_external_checks_php.yaml,gap_route_agentfrontend_partials_external_checks_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_extra_widget_php.yaml,gap_route_agentfrontend_partials_extra_widget_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_flows_php.yaml,gap_route_agentfrontend_partials_flows_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_gap_tests_php.yaml,gap_route_agentfrontend_partials_gap_tests_php,ui,,,2,"goto,wait",,False
generated/gap_route_agentfrontend_partials_hallucination_metrics_php.yaml,gap_route_agentfrontend_partials_hallucination_metrics_php,ui,,,2,"goto,wait",,False
